All Ordinaries Index (1 July 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,
MMI,Metro Mining Limited,Energy,"277,788,000",0.01,,
MMS,Mcmillan Shakespeare,Industrials,"1,331,280,000",0.07,,
MND,Monadelphous Group,Industrials,"1,417,270,000",0.07,,
MNF,MNF Group Limited,Telecommunication Services,"383,869,000",0.02,,
MNS,Magnis Resource Limited,Materials,"217,694,000",0.01,,
MNY,MONEY3 Corporation,Financials,"339,816,000",0.02,,
MOC,Mortgage Choice Limited,Financials,"176,871,000",0.01,,
MOE,Moelis Australia Limited,Financials,"924,397,000",0.05,,
MP1,Megaport Limited,Information Technology,"465,323,000",0.02,,
MPL,Medibank Private Limited,Financials,"8,041,690,000",0.41,,
MQG,Macquarie Group Limited,Financials,"42,088,300,000",2.16,,
MRM,Mmaoffshor,Industrials,"218,810,000",0.01,,
MRN,MACQ Media Limited,Consumer Discretionary,"263,344,000",0.01,,
MSB,Mesoblast Limited,Health Care,"701,764,000",0.04,,
MTO,Motorcycle HLDG,Consumer Discretionary,"203,632,000",0.01,,
MTS,Metcash Limited,Consumer Staples,"2,546,430,000",0.13,,
MVF,Monash Ivf Group Limited,Health Care,"254,227,000",0.01,,
MVP,Medical Developments,Health Care,"343,198,000",0.02,,
MWY,Midway Limited,Materials,"197,741,000",0.01,,
MYO,Myob Group Limited,Information Technology,"1,731,440,000",0.09,,
MYR,Myer Holdings Limited,Consumer Discretionary,"303,873,000",0.02,,
MYS,Mystate Limited,Financials,"452,444,000",0.02,,
MYX,Mayne Pharma Limited,Health Care,"1,361,310,000",0.07,,
NAB,National Aust. Bank,Financials,"74,636,200,000",3.84,,
NAN,Nanosonics Limited,Health Care,"945,930,000",0.05,,
NBL,Noni B Limited,Consumer Discretionary,"283,302,000",0.01,,
NCK,Nick Scali Limited,Consumer Discretionary,"545,130,000",0.03,,
NCM,Newcrest Mining,Materials,"16,736,800,000",0.86,,
NCZ,New Century Resource,Materials,"660,203,000",0.03,,
NEA,Nearmap Limited,Information Technology,"446,305,000",0.02,,
NEC,Nine Entertainment,Consumer Discretionary,"2,161,010,000",0.11,,
NEU,Neuren Pharmaceut,Health Care,"298,990,000",0.02,,
NEW,NEW Energy Solar Stapled Securities,Utilities,"481,685,000",0.02,,
NGI,Navigator Global Limited,Financials,"865,870,000",0.04,,
NHC,New Hope Corporation,Energy,"2,485,140,000",0.13,,
NHF,Nib Holdings Limited,Financials,"2,606,280,000",0.13,,
NMT,Neometals Limited,Materials,"163,060,000",0.01,,
NSR,National Storage Stapled Security FP,Real Estate,"919,731,000",0.05,,
NST,Northern Star,Materials,"4,449,100,000",0.23,,
NTC,Netcomm Wireless,Information Technology,"161,695,000",0.01,,
NUF,Nufarm Limited,Materials,"2,903,470,000",0.15,,
NVL,National Veterinary,Health Care,"156,486,000",0.01,,
NVT,Navitas Limited,Consumer Discretionary,"1,590,370,000",0.08,,
NWH,NRW Holdings Limited,Industrials,"628,216,000",0.03,,
NWL,Netwealth Group,Financials,"1,953,730,000",0.1,,
NWS,News Corp Class B Voting Common Stock-Cdi,Consumer Discretionary,"1,116,820,000",0.06,,
NXT,NEXTDC Limited,Information Technology,"2,587,090,000",0.13,,
NZM,NZME Limited Foreign Exempt NZX,Consumer Discretionary,"153,869,000",0.01,,
